15 2158  -0.07000000000000001 1e-05 0  0 0 0   0.007586261015303908 0.09985522263569102 0  
15 2965  -0.06968000000000001 1e-05 0  0.00032 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06936 1e-05 0  0.0006400000000000001 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06904 1e-05 0  0.00096 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06872 1e-05 0  0.00128 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.0684 1e-05 0  0.0016 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06808 1e-05 0  0.00192 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06776 1e-05 0  0.00224 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06744 1e-05 0  0.00256 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06712000000000001 1e-05 0  0.00288 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06680000000000001 1e-05 0  0.0032 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06648000000000001 1e-05 0  0.00352 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06616000000000001 1e-05 0  0.00384 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06584000000000001 1e-05 0  0.00416 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06552000000000001 1e-05 0  0.00448 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06520000000000001 1e-05 0  0.0048 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06488000000000001 1e-05 0  0.00512 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06456000000000001 1e-05 0  0.00544 0 0   0.006780286085499326 -1.038925518873295 0  
15 2965  -0.06424000000000001 1e-05 0  0.005759999999999999 0 0   0.006780286085499326 -1.038925518873295 0  
15 2962  -0.06392 1e-05 0  0.00608 0 0   0.001816264356941932 -1.027801623821399 0  
15 2962  -0.0636 1e-05 0  0.0064 0 0   0.001816264356941932 -1.027801623821399 0  
15 2962  -0.06328 1e-05 0  0.00672 0 0   0.001816264356941932 -1.027801623821399 0  
15 2962  -0.06296 1e-05 0  0.007039999999999999 0 0   0.001816264356941932 -1.027801623821399 0  
15 2962  -0.06264 1e-05 0  0.00736 0 0   0.001816264356941932 -1.027801623821399 0  
15 2962  -0.06232000000000001 1e-05 0  0.00768 0 0   0.001816264356941932 -1.027801623821399 0  
15 2962  -0.06200000000000001 1e-05 0  0.008 0 0   0.001816264356941932 -1.027801623821399 0  
15 2962  -0.06168000000000001 1e-05 0  0.008319999999999999 0 0   0.001816264356941932 -1.027801623821399 0  
15 2962  -0.06136 1e-05 0  0.00864 0 0   0.001816264356941932 -1.027801623821399 0  
15 2962  -0.06104 1e-05 0  0.008960000000000001 0 0   0.001816264356941932 -1.027801623821399 0  
15 2962  -0.06072000000000001 1e-05 0  0.00928 0 0   0.001816264356941932 -1.027801623821399 0  
15 2962  -0.06040000000000001 1e-05 0  0.009599999999999999 0 0   0.001816264356941932 -1.027801623821399 0  
15 2962  -0.06008000000000001 1e-05 0  0.00992 0 0   0.001816264356941932 -1.027801623821399 0  
15 2962  -0.05976000000000001 1e-05 0  0.01024 0 0   0.001816264356941932 -1.027801623821399 0  
15 2962  -0.05944000000000001 1e-05 0  0.01056 0 0   0.001816264356941932 -1.027801623821399 0  
15 2962  -0.05912000000000001 1e-05 0  0.01088 0 0   0.001816264356941932 -1.027801623821399 0  
